prodid, prodname, caffeine_serving, calcium_serving, carbohydrates_serving, carbon-footprint_serving,cholesterol_serving, chromium_serving, copper_serving, energy_serving, energy-from-fat_serving, erythritol_serving, fat_serving, fiber_serving, fruits-vegetables-nuts_serving, guarana-seed-extract_serving, insoluble-fiber_serving, iron_serving, magnesium_serving, manganese_serving, molybdenum_serving, monounsaturated-fat_serving, omega-3-fat_serving, pantothenic-acid_serving, phosphorus_serving, polyols_serving, polyunsaturated-fat_serving, potassium_serving, proteins_serving, salt_serving, saturated-fat_serving, selenium_serving, serum-proteins_serving, sodium_serving, soluble-fiber_serving, starch_serving, sugars_serving, taurine_serving, trans-fat_serving, vitamin-a_serving, vitamin-b1_serving, vitamin-b12_serving, vitamin-b2_serving, vitamin-b6_serving, vitamin-b9_serving,vitamin-c_serving, vitamin-d_serving, vitamin-e_serving, vitamin-pp_serving, zinc_serving
8.53508E+11," ""Avocado Honey""", undefined, undefined,25, undefined,0, undefined, undefined,251,0, undefined,0,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0,0, undefined, undefined,0, undefined, undefined,16, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
8.50668E+11," ""Rosemary & Olive Oil""", undefined,0.02,17, undefined,0, undefined, undefined,586,293, undefined,7,1, undefined, undefined, undefined,0.00036, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.5842,0.5, undefined, undefined,0.23, undefined, undefined,1, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0.006, undefined, undefined, undefined, undefined
52603065061," ""Organic Chocolate Almond Non-Dairy Beverage""", undefined,0.02,19, undefined,0, undefined, undefined,418,105, undefined,3,1, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.15,1,0.381,0, undefined, undefined,0.15, undefined, undefined,17, undefined,0,0.00015, undefined, undefined,0.00051, undefined, undefined,0,0.00001, undefined, undefined, undefined
73007106730," ""Prosciutto""", undefined,0,0, undefined,0.025, undefined, undefined,251,105, undefined,3,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,8,1.1684,1, undefined, undefined,0.46, undefined, undefined,0, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
4.89788E+12," ""Nissin Demae Five Spices Artificial Beef Flavor""", undefined,0.02,58, undefined,0, undefined, undefined,1925,795, undefined,21,3, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,10,4.699,8, undefined, undefined,1.85, undefined, undefined,2, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
4.89788E+12," ""Nissin Demae Artificial Chicken Flavor""", undefined,0.02,57, undefined,0, undefined, undefined,1883,753, undefined,21,3, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,10,5.4356,8, undefined, undefined,2.14, undefined, undefined,2, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
3.66015E+12," ""undefined""", undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
75500000027," ""Texas Pete Hot Sauce""", undefined, undefined,1, undefined, undefined, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.254, undefined, undefined, undefined,0.1, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
6.57623E+11," ""Organic lemon tea""",0.09,0,21, undefined,0, undefined, undefined,335,0, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.0889,0, undefined, undefined,0.035, undefined, undefined,21, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
18000817818," ""Chocolate Chunk & Chip""", undefined,0,24, undefined,0.005, undefined, undefined,711, undefined, undefined,7,1, undefined, undefined, undefined,0.00036, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.3429,3.5, undefined, undefined,0.135, undefined, undefined,15, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
37578800800," ""Jimmy Chips - BBQ Flavored """, undefined,0,17, undefined,0, undefined, undefined,628, undefined, undefined,8,1, undefined, undefined, undefined,0.00036, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.2667,1.5, undefined, undefined,0.105, undefined, undefined,2, undefined,0,0.00003, undefined, undefined, undefined, undefined, undefined,0.009, undefined, undefined, undefined, undefined
8.75343E+11," ""Plain Double Whipped Shmear""", undefined,0,1, undefined,0.02, undefined, undefined,293, undefined, undefined,7,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.1651,4.5, undefined, undefined,0.065, undefined, undefined,1, undefined,0,0.00006, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
19320015441," ""Shortbread Cookies""", undefined, undefined,29, undefined,0, undefined, undefined,879, undefined, undefined,10,1, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2.5, undefined, undefined, undefined, undefined,4,0.035,2,0.5842,2.5, undefined, undefined,0.23, undefined, undefined,8, undefined,0.5,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
21130153138," ""Primo Taglio Genoa Salame""", undefined,0.02,1, undefined,0.05, undefined, undefined,711, undefined, undefined,12,0, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,14,2.3368,4, undefined, undefined,0.92, undefined, undefined,1, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
43646201288," ""Dijon Originale""", undefined, undefined, , undefined, undefined, undefined, undefined, , undefined, undefined, , , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , , , undefined, undefined, , undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
27917019192," ""MultiVites""", undefined, undefined,3, undefined, undefined,0.00012, undefined,63, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.0000375, undefined, undefined,0.01, undefined, undefined, undefined, undefined, undefined,0.0127, undefined, undefined, undefined,0.005, undefined, undefined,3, undefined, undefined,0.00075, undefined,0.000012, undefined,0.004,0.0004,0.03,0.00008,0.01,0.01, undefined
76808501087," ""FARFALLE""", undefined,0,42, undefined,0, undefined, undefined,837,42, undefined,1,2, undefined, undefined,1,0.0018, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,7,0,0, undefined, undefined,0,1, undefined,2, undefined,0,0,0.000525, undefined,0.000255, undefined,0.00012,0, undefined, undefined,0.003, undefined
3.28022E+12," ""undefined""", undefined, undefined, , undefined, undefined, undefined, undefined, , undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , , , undefined, undefined, , undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
9800892204," ""Nutella""", undefined,0.04,21, undefined,0, undefined, undefined,837,460, undefined,12,1, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.0381,4, undefined, undefined,0.015, undefined, undefined,21, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
79200558338," ""Rainbow Nerds""", undefined, undefined,14, undefined, undefined, undefined, undefined,251, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined,14, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
443357," ""Trader Joe's Jalapeno Pepper Hot Sauce""", undefined, undefined,0, undefined, undefined, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,304.8, undefined, undefined, undefined,120, undefined, undefined, undefined, undefined, undefined,0.00006, undefined, undefined, undefined, undefined, undefined,0.0024, undefined, undefined, undefined, undefined
81533818188," ""Hawaii water""", undefined, undefined,0, undefined, undefined, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
51500255162," ""Creamy Peanut Butter""", undefined,0,8, undefined,0, undefined, undefined,795,544, undefined,16,2, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,7,0.3429,2.5, undefined, undefined,0.135, undefined, undefined,3, undefined,0,0, undefined, undefined,0.000034, undefined, undefined,0, undefined,0.002,0.004, undefined
41000583179," ""Black Tea with Vanilla """, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
6.36046E+11," ""Peppermint Herbal""", undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
8.94773E+11," ""Dr. Zevia Zero Calorie Soda""", undefined, undefined,4, undefined, undefined, undefined, undefined,0, undefined,4,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.0508, undefined, undefined, undefined,0.02, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
3444009," ""Milk Chocolate Peanut Butter Cups""", undefined,0.02,24, undefined,0.005, undefined, undefined,879,460, undefined,13,1, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,5,0.381,4.5, undefined, undefined,0.15, undefined, undefined,21, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
62356540616," ""Basra Date Molasses """, undefined,0,29, undefined,0, undefined, undefined,510, undefined, undefined,0,1, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.5,0.01778,0, undefined, undefined,0.007, undefined, undefined,26, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
16000275348," ""Lucky Charms""", undefined,0.1,22, undefined,0, undefined, undefined,460,42, undefined,1,2, undefined, undefined, undefined,0.0045,0.016, undefined, undefined,0, undefined, undefined,0.04, undefined,0,0.05,2,0.4318,0, undefined, undefined,0.17, undefined, undefined,10, undefined,0,0.00015,0.000375,1.50E-06,0.000425,0.0005,0.0002,0.006,4.00E-06, undefined,0.005,0.00375
8.12579E+11," ""Coconut oil""", undefined,0,0, undefined,0, undefined, undefined,502,502, undefined,14,0, undefined, undefined, undefined,0, undefined, undefined, undefined,1, undefined, undefined, undefined, undefined,1, undefined,0,0,12, undefined, undefined,0, undefined, undefined,0, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
533904," ""undefined""", undefined,0,10.7, undefined,0, undefined, undefined,201, undefined, undefined,0.185,0.37, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.74,0.235,0, undefined, undefined,0.0925, undefined, undefined,2.59, undefined,0,0.0000333, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
21357913447," ""Hickory Farms® Farmhouse Receipe™Summer Sausage Hardwood Smoked Semi-Dry""", undefined, undefined,1, undefined,0.045, undefined, undefined, undefined, undefined, undefined,16, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,10,1.6764,6, undefined, undefined,0.66, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
10700024404," ""Whoppers""", undefined,0.06,31, undefined,0, undefined, undefined,795,251, undefined,7,0, undefined, undefined, undefined,0.00036, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.2413,7, undefined, undefined,0.095, undefined, undefined,24, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
16000409972," ""Party Rainbow Chip cake mix""", undefined,0.08,35, undefined,0, undefined, undefined,669,42, undefined,1.5,1, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.02,1,0.8128,1, undefined, undefined,0.32, undefined, undefined,18, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
38000219344," ""Rice krispies""", undefined,0,22, undefined,0, undefined, undefined,418,0, undefined,0,0, undefined, undefined, undefined,0.0063, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.3556,0, undefined, undefined,0.14, undefined, undefined,3, undefined,0,0.000225,0.000225,9.00E-07,0.000255,0.0003,0.00014,0.009,0.000004,0.003,0.003, undefined
70272090993," ""Le Gruyère""", undefined,0.25,0, undefined,0.025, undefined, undefined,460, undefined, undefined,9,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,8,0.4318,5, undefined, undefined,0.17, undefined, undefined,0, undefined,0,0.00003, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
7.61303E+12," ""undefined""", undefined,0.14,22.8, undefined, undefined, undefined, undefined,521, undefined, undefined,2.28,1.5, undefined, undefined, undefined,0.00237, undefined, undefined, undefined, undefined, undefined,0.00156, undefined, undefined, undefined, undefined,2.19,0.152,0.9, undefined, undefined,0.06, undefined, undefined,8.64, undefined, undefined, undefined,0.000276, undefined,0.00039,0.00039,0.000054, undefined,9.00E-07, undefined,0.00417, undefined
3.22982E+12," ""undefined""", undefined, undefined,20.2, undefined, undefined, undefined, undefined,661, undefined, undefined,4.96,4.24, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,6.04,0.012,0.76, undefined, undefined,0.00472, undefined, undefined,3.44, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
38000219634," ""Frosted Flakes""", undefined,0,30, undefined,0, undefined, undefined,544,0, undefined,0,1, undefined, undefined, undefined,0.0045, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.4064,0, undefined, undefined,0.16, undefined, undefined,12, undefined,0,0.00015,0.000375,1.50E-06,0.000425,0.0005,0.0001,0.006,4.00E-06, undefined,0.005, undefined
24463061163," ""Sriracha Hot Chili Sauce""", undefined,0,1, undefined,0, undefined, undefined,21, undefined, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.2032,0, undefined, undefined,0.08, undefined, undefined,1, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
6.9499E+11," ""Pim's Orange""", undefined,0,17, undefined, undefined, undefined, undefined,418, undefined, undefined,3,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.0889,1.5, undefined, undefined,0.035, undefined, undefined,14, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
44000032586," ""Golden Oreo""", undefined,0,24, undefined,0, undefined, undefined,669, undefined, undefined,7,0, undefined, undefined, undefined,0.00108, undefined, undefined, undefined,3.5, undefined, undefined, undefined, undefined,1,0.015,1,0.3048,2, undefined, undefined,0.12, undefined, undefined,12, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
18894360155," ""Macaroni N' Cheese""", undefined,0.04,50, undefined,0.005, undefined, undefined,1004,42, undefined,1,2, undefined, undefined, undefined,0.0018, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,8,1.4478,0.5, undefined, undefined,0.57, undefined, undefined,5, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
24094070343," ""Fusilli no.34""", undefined,0,41, undefined,0, undefined, undefined,837, undefined, undefined,1,2, undefined, undefined, undefined,0.0018, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,7,0,0, undefined, undefined,0, undefined, undefined,1, undefined,0,0,0.000525, undefined,0.000255, undefined,0.00012,0, undefined, undefined,0.004, undefined
38000391200," ""Froot Loops""", undefined,0,26, undefined,0, undefined, undefined,460,42, undefined,1,3, undefined, undefined, undefined,0.0045, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined,0, undefined,1,0.3429,0.5, undefined, undefined,0.135, undefined, undefined,12, undefined,0,0.00015,0.000375,1.50E-06,0.000425,0.0005,0.0001,0.015,4.00E-06, undefined,0.005,0.0015
77901004024," ""Camembert""", undefined,0.1,0, undefined,0.02, undefined, undefined,418, undefined, undefined,9,0, undefined, undefined, undefined,0.00108, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,4,0.3048,4, undefined, undefined,0.12, undefined, undefined,0, undefined,0,9.00E-05, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
16000264793," ""Crunchy Peanut Butter Granola Bars""", undefined, undefined,28, undefined,0, undefined, undefined,795,251, undefined,7,2, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,5,0.4572,1, undefined, undefined,0.18, undefined, undefined,11, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
11210000018," ""Tabasco Pepper Sauce""", undefined, undefined,0, undefined, undefined, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.0889, undefined, undefined, undefined,0.035, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
44000037420," ""Oreo smile""", undefined,0.02,41, undefined,0, undefined, undefined,1130, undefined, undefined,11,2, undefined, undefined, undefined,0.00108, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,2,0.6096,3.5, undefined, undefined,0.24, undefined, undefined,23, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
76677100145," ""Chocolate Chip""", undefined,0,38, undefined,0.005, undefined, undefined,1172,502, undefined,13,2, undefined, undefined, undefined,0.00036, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,3,0.508,5, undefined, undefined,0.2, undefined, undefined,18, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
30000012109," ""Quaker Original""", undefined,0.1,19, undefined, undefined, undefined, undefined,418, undefined, undefined,2,3, undefined, undefined, undefined,0.0072,0.032, undefined, undefined,0.5, undefined, undefined,0.1, undefined,0.5,0.105,4,0.1905,0.5, undefined, undefined,0.075,1, undefined,0, undefined,0,0.000225,0.00015, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
6.55852E+11," ""Vanilla Crunch Granola""", undefined,0.02,39, undefined,0, undefined, undefined,920,209, undefined,6,3, undefined, undefined, undefined,0.0018, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,4,0.1905,0.5, undefined, undefined,0.075, undefined, undefined,17, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
6.13003E+11," ""Green Tea with Ginseng and Honey""", undefined,0,18, undefined,0, undefined, undefined,293, undefined, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.0254,0, undefined, undefined,0.01, undefined, undefined,17, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0.015, undefined, undefined, undefined, undefined
49283802185," ""S.Pellegrino""", undefined,0.04,0, undefined, undefined, undefined, undefined,0, undefined, undefined,0,0, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.0254,0, undefined, undefined,0.01, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
8.71459E+11," ""Cheddar Cheese Slices""", undefined, undefined,5, undefined,0, undefined, undefined,251, undefined, undefined,4.5, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.2921,2, undefined, undefined,0.115, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
6.1127E+11," ""Red Bull""", undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , , undefined, undefined, undefined, , undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
